project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list
99593,90,2.27,4.0,241.0,2.48,2.70727883,2.8265151200000003,2.0,"Burton Scot Contractors, Kokosing Construction"
89246,176,0.58,4.0,241.0,1.05,1.23987024,1.31980652,3.0,"Chagrin Valley Paving, Burton Scot Contractors, Kokosing Construction"
93147,42,1.82,2.0,240.0,0.257,0.3244252999999999,0.309476,3.0,"Strawser Paving, Shelly & Sands, Shelly"
99629,700,5.04,2.0,272.0,0.63,0.56160606,0.6251726700000001,6.0,"Ronyak Paving, Kokosing Construction, Chagrin Valley Paving, Barbicas Construction, Burton Scot Contractors, Shelly & Sands"
94134,289 / 626 / 680 / 224,9.68,2.0,226.0,3.342,3.28490452,3.3953331,5.0,"Shelly & Sands, R T Vernal Paving & Excavating, Americon Industrial Services, Lindy Paving, Shelly"
102364,248 / 7,13.21,2.0,273.0,2.635,2.62495665,2.79389882,2.0,"Shelly, Nuko Paving"
100968,75,3.61,4.0,211.0,1.795,1.8784,1.9509687,2.0,"Barrett Paving Materials, John R Jurgensen"
102835,95 / 309,16.27,2.0,241.0,3.558,3.23584386,3.3366109,2.0,"Shelly & Sands, Kokosing Construction"
87283,14 / 480,1.74,4.0,529.0,2.744,2.79101385,2.76243233,3.0,"Shelly & Sands, Chagrin Valley Paving, Shelly"
97243,552,1.67,2.0,226.0,0.436,0.44769986,0.47311516,2.0,"Axis Civil Construction, Eclipse"
87352,70,3.11,4.0,265.0,0.94,0.8841602,0.98575255,2.0,"Shelly & Sands, The Lash Paving"
100676,172,7.12,2.0,234.0,0.492,0.52401728,0.51514708,3.0,"American Pavements, Microsurfacing Contractors, Strawser Construction"
94394,113 / 250,8.85,4.0,234.0,4.193,3.99545415,4.10927898,3.0,"Kokosing Construction, Erie Blacktop, Gerken Paving"
90909,6,3.44,2.0,265.0,0.784,0.66118475,0.6985815400000001,6.0,"Ronyak Paving, Burton Scot Contractors, Kokosing Construction, Chagrin Valley Paving, Karvo Companies, Barbicas Construction"
88848,195 / 235 / 309 / 81,14.49,2.0,234.0,3.403,3.3050371000000003,3.59057829,2.0,"Bluffton Paving, Shelly"
102808,20 / 25,,4.0,174.0,2.749,3.3770308900000003,3.40202825,2.0,"Gerken Paving, Shelly"
103254,117,6.54,2.0,169.0,0.78,0.9498294,1.01272837,1.0,Shelly
91766,7,5.82,2.0,157.0,1.113,0.95096559,1.06147729,2.0,"Shelly & Sands, The Lash Paving"
103252,75,1.4,4.0,169.0,1.457,1.6423,1.57468569,2.0,"Barrett Paving Materials, John R Jurgensen"
94133,303,2.27,2.0,142.0,0.563,0.4489283,0.45682353,7.0,"Barbicas Construction, Shelly & Sands, Shelly, Ronyak Paving, Chagrin Valley Paving, Karvo Companies, Burton Scot Contractors"
102817,19 / 101,9.67,2.0,205.0,1.695,1.60740225,2.04831144,4.0,"M & B Asphalt, Gerken Paving, Kokosing Construction, Erie Blacktop"
102413,153 / 172,8.42,2.0,203.0,1.251,1.2547311,1.1850788799999998,5.0,"Northstar Asphalt, Superior Paving & Materials, Allied Enterprises, Shelly, Barbicas Construction"
98702,77 / 271 / 16,,2.0,204.0,0.715,0.61562742,0.6455450300000001,11.0,"Shelly, Karvo Companies, Kenmore Construction, Burton Scot Contractors, Perrin Asphalt, Chagrin Valley Paving, Ronyak Paving, Shelly & Sands, Kokosing Construction, Barbicas Construction, Roads Asphalt Recycling"
81641,5,,4.0,234.0,3.144,2.96928481,3.01966479,8.0,"Ronyak Paving, Kokosing Construction, Shelly & Sands, Americon Industrial Services, Shelly, Karvo Companies, Chagrin Valley Paving, Barbicas Construction"
91391,38,,2.0,249.0,0.52,0.51595951,0.50889905,2.0,"Shelly, Strawser Paving"
87718,71,,4.0,234.0,6.752,5.93205295,6.641350650000001,2.0,"Kokosing Construction, Shelly & Sands"
95447,93,13.93,2.0,249.0,1.964,2.04989228,2.24525226,2.0,"Shelly, Shelly & Sands"
93645,65 / 109 / 613,23.68,2.0,191.0,3.365,3.81011693,4.19053466,2.0,"Gerken Paving, Shelly"
104854,29,5.4,2.0,159.0,1.03,1.02415728,1.04891672,2.0,"A & B Asphalt, Shelly"
85530,480,3.2,4.0,251.0,3.59,3.7259619,4.06545857,5.0,"Kokosing Construction, Burton Scot Contractors, Karvo Companies, Shelly, Chagrin Valley Paving"
100999,265 / 376,19.07,2.0,235.0,2.476,2.24228555,2.52384011,2.0,"Shelly & Sands, The Lash Paving"
102763,281,5.71,2.0,128.0,0.719,0.76674763,0.79089294,2.0,"Gerken Paving, Shelly"
95564,7,4.56,4.0,251.0,2.27,1.69434,1.81484864,2.0,"The Lash Paving, Shelly & Sands"
83064,52 / 83064,,4.0,190.0,1.585,1.60997251,1.61184753,1.0,Shelly
102974,68,3.47,2.0,128.0,0.758,0.84013575,0.8374820799999999,1.0,Shelly
103055,151,0.4,2.0,128.0,0.112,0.1269695,0.12635425,2.0,"Barrett Paving Materials, A & B Asphalt"
95510,146,9.57,2.0,235.0,1.324,1.13866105,1.20949996,3.0,"Shelly & Sands, The Lash Paving, Shelly"
87286,271 / 8,,4.0,128.0,1.795,1.69865455,1.40990688,6.0,"Shelly & Sands, Burton Scot Contractors, Chagrin Valley Paving, Karvo Companies, Shelly, Kokosing Construction"
98266,416,2.85,2.0,250.0,0.979,1.06588444,1.11239097,5.0,"Shelly & Sands, Karvo Companies, Northstar Asphalt, Shelly, Barbicas Construction"
101246,739 / 287 / 33,9.41,2.0,235.0,4.316,4.94997358,5.18767049,1.0,Shelly
97956,41 / 68,12.1,4.0,190.0,4.265,3.99819575,4.2770031,3.0,"Shelly, John R Jurgensen, Barrett Paving Materials"
102832,750,2.82,4.0,213.0,1.398,1.5261843,1.54723292,3.0,"Shelly & Sands, Kokosing Construction, Shelly"
102802,109 / 108,9.72,2.0,137.0,1.532,1.55127359,1.52386563,1.0,Gerken Paving
99634,608 / 166,6.25,2.0,229.0,0.767,0.69846075,0.87547642,6.0,"Ronyak Paving, Chagrin Valley Paving, Burton Scot Contractors, Karvo Companies, Kokosing Construction, Barbicas Construction"
85217,528,7.56,2.0,229.0,2.283,2.03387912,2.33766591,6.0,"Ronyak Paving, Kokosing Construction, Chagrin Valley Paving, Burton Scot Contractors, Karvo Companies, Barbicas Construction"
92983,79,5.0,4.0,213.0,2.852,3.25498114,3.2524594500000004,2.0,"Shelly, Kokosing Construction"
100937,49 / 219,,2.0,171.0,1.833,1.9951523,2.12756153,1.0,Shelly
100962,40 / 35,,2.0,137.0,1.015,0.9895,0.91808485,2.0,"Barrett Paving Materials, John R Jurgensen"
103438,61 / 314 / 42,20.57,2.0,213.0,3.255,3.01622009,3.42982459,2.0,"Kokosing Construction, Shelly & Sands"
95765,412 / 590,10.57,2.0,199.0,1.737,1.68001693,1.77782729,4.0,"M & B Asphalt, Gerken Paving, Erie Blacktop, Kokosing Construction"
103832,347,0.07,2.0,113.0,0.153,0.17727852,0.19943278,1.0,Shelly
87210,30 / 697 / 190 / 189 / 66,,2.0,185.0,1.886,2.05153378,2.13151588,2.0,"Bluffton Paving, Shelly"
93010,36,7.54,4.0,216.0,3.566,3.54999531,3.89615212,2.0,"Shelly, The Lash Paving"
85394,91,2.9,2.0,155.0,0.981,0.8838824599999999,0.95922092,7.0,"Chagrin Valley Paving, Ronyak Paving, Burton Scot Contractors, Barbicas Construction, Karvo Companies, Shelly, Kokosing Construction"
101746,60,0.55,2.0,170.0,0.308,0.33136658,0.359591,1.0,Shelly & Sands
106519,21,4.06,4.0,185.0,1.908,1.66986565,1.83208786,5.0,"Chagrin Valley Paving, Shelly, Superior Paving & Materials, Northstar Asphalt, Barbicas Construction"
88851,709,8.06,2.0,186.0,1.082,1.1949614,1.25600206,1.0,Shelly
88933,45 / 11,8.22,4.0,169.0,4.16,3.81638937,4.13334855,7.0,"Koski Construction, Ronyak Paving, Shelly & Sands, Karvo Companies, Chagrin Valley Paving, Kokosing Construction, Burton Scot Contractors"
98571,430 / 42 / 13,4.09,4.0,184.0,2.914,2.49765025,2.54673668,2.0,"Kokosing Construction, Shelly & Sands"
92987,651 / 643 / 621,,2.0,202.0,4.789,5.02547588,5.29041399,2.0,"Shelly, Melway Paving"
85401,322,,4.0,186.0,1.528,1.63889775,1.31184581,5.0,"Karvo Companies, Shelly, Chagrin Valley Paving, Burton Scot Contractors, Barbicas Construction"
98152,327 / 124,4.675,2.0,171.0,1.218,1.07049331,1.2393853700000002,3.0,"Nuko Paving, Shelly & Sands, Shelly"
99645,528,6.18,2.0,202.0,1.006,0.96993966,1.06899606,6.0,"Ronyak Paving, Chagrin Valley Paving, Karvo Companies, Kokosing Construction, Burton Scot Contractors, Barbicas Construction"
100934,117 / 245,2.26,2.0,110.0,0.749,0.7885806,0.74617152,1.0,Shelly
100946,718 / 571,4.27,2.0,110.0,0.822,0.83902046,0.83300959,1.0,John R Jurgensen
84516,60,10.94,2.0,141.0,2.545,2.99052535,2.935025,1.0,Shelly & Sands
104711,23 / 159,1.19,2.0,141.0,0.901,0.98358081,0.89722811,3.0,"Shelly & Sands, Shelly, Nuko Paving"
103544,250,15.72,2.0,186.0,4.195,4.35814304,4.49101791,4.0,"Karvo Companies, Shelly, Kokosing Construction, Chagrin Valley Paving"
92892,83,1.36,4.0,155.0,0.792,0.7581163000000001,0.7239874599999999,5.0,"Karvo Companies, Chagrin Valley Paving, Barbicas Construction, Kokosing Construction, Melway Paving"
95769,6,9.0,2.0,393.0,4.566,4.23073939,4.70946383,3.0,"Erie Blacktop, Gerken Paving, Kokosing Construction"
100591,39,,2.0,157.0,1.925,1.70815609,1.76126903,6.0,"Superior Paving & Materials, Shelly & Sands, Shelly, Barbicas Construction, Allied Enterprises, Nls Paving"
92876,72,1.55,4.0,157.0,0.744,0.71260645,0.72197126,3.0,"Barrett Paving Materials, John R Jurgensen, Shelly"
