state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes
Ohio,Paulding,39125,2018.0,2018-05-24,105522,111,12.982,2.0,99.0,0.943,0.957859,1.0475101,2.0,"Shelly Company, Gerken Paving",
Ohio,Wyandot,39175,,,88832,23,,,,,,,,,"['23', '23', '23']"
Ohio,Butler,39017,,,94263,73,,,,,,,,,['73']
Ohio,Franklin,39049,,,76467,270 / 315,,,,,,,,,"['270', '270', '270', '270', '270', '270', '270', '315', '270']"
Ohio,Hocking,39073,,,101555,33,,,,,,,,,['33']
Ohio,Lorain,39093,,,98470,58,,,,,,,,,"['58', '58']"
Ohio,Montgomery,39113,,,103062,5093,,,,,,,,,"['5093', '5093']"
Ohio,Richland,39139,,,94400,13,,,,,,,,,"['13', '13', '13', '13']"
Ohio,Hancock,39063,,,87194,698 / 37 / 103,,,,,,,,,"['103', '103', '698', '37']"
Ohio,Ashtabula,39007,,,94079,45,,,,,,,,,"['45', '45', '45', '45']"
Ohio,Geauga,39055,,,99627,306,,,,,,,,,"['306', '306']"
Ohio,Madison,39097,,,91512,38 / 42,,,,,,,,,"['38', '42', '38', '42', '42', '42', '38', '38', '42', '38', '42', '38']"
Ohio,Portage,39133,,,94131,700 / 305,,,,,,,,,"['700', '700', '305', '700']"
Ohio,Ashtabula,39007,,,94110,531,,,,,,,,,"['531', '531', '531', '531', '531', '531']"
Ohio,Carroll,39019,,,91837,164,,,,,,,,,"['164', '164', '164', '164', '164']"
Ohio,Cuyahoga,39035,,,99593,90,,,,,,,,,['90']
Ohio,Cuyahoga,39035,,,89246,176,,,,,,,,,['176']
Ohio,Delaware,39041,,,93147,42,,,,,,,,,['42']
Ohio,Geauga,39055,,,99629,700,,,,,,,,,['700']
Ohio,Mahoning,39099,,,94134,289 / 626 / 680 / 224,,,,,,,,,"['289', '224', '224', '680', '224', '626', '626', '626', '224', '289']"
Ohio,Meigs,39105,,,102364,248 / 7,,,,,,,,,"['7', '248']"
Ohio,Montgomery,39113,,,100968,75,,,,,,,,,['75']
Ohio,Morrow,39117,,,102835,95 / 309,,,,,,,,,"['309', '309', '95', '309']"
Ohio,Portage,39133,,,87283,14 / 480,,,,,,,,,"['480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '480', '14']"
Ohio,Pike,39131,,,97243,552,,,,,,,,,['552']
Ohio,Belmont,39013,,,87352,70,,,,,,,,,"['70', '70']"
Ohio,Columbiana,39029,,,100676,172,,,,,,,,,['172']
Ohio,Erie,39043,,,94394,113 / 250,,,,,,,,,"['250', '250', '250', '250', '113']"
Ohio,Geauga,39055,,,90909,6,,,,,,,,,['6']
Ohio,Hardin,39065,,,88848,195 / 235 / 309 / 81,,,,,,,,,"['309', '81', '235', '309', '195', '195']"
Ohio,Lucas,39095,,,102808,20 / 25,,,,,,,,,"['25', '20', '20', '20']"
Ohio,Mercer,39107,,,103254,117,,,,,,,,,['117']
Ohio,Monroe,39111,,,91766,7,,,,,,,,,['7']
Ohio,Montgomery,39113,,,103252,75,,,,,,,,,['75']
Ohio,Portage,39133,,,94133,303,,,,,,,,,['303']
Ohio,Seneca,39147,,,102817,19 / 101,,,,,,,,,"['101', '19', '101', '101', '19', '19', '101', '101']"
Ohio,Stark,39151,,,102413,153 / 172,,,,,,,,,"['172', '153']"
Ohio,Summit,39153,,,98702,77 / 271 / 16,,,,,,,,,"['77', '271', '16']"
Ohio,Trumbull,39155,,,81641,5,,,,,,,,,"['5', '5', '5', '5', '5', '5', '5']"
Ohio,Union,39159,,,91391,38,,,,,,,,,['38']
Ohio,Wayne,39169,,,87718,71,,,,,,,,,"['71', '71', '71']"
Ohio,Perry,39127,,,95447,93,,,,,,,,,"['93', '93', '93', '93', '93']"
Ohio,Putnam,39137,,,93645,65 / 109 / 613,,,,,,,,,"['109', '613', '65']"
Ohio,Champaign,39021,,,104854,29,,,,,,,,,['29']
Ohio,Cuyahoga,39035,,,85530,480,,,,,,,,,['480']
Ohio,Guernsey,39059,,,100999,265 / 376,,,,,,,,,"['265', '265', '376', '265', '265', '265', '265', '265']"
Ohio,Henry,39069,,,102763,281,,,,,,,,,"['281', '281']"
Ohio,Jefferson,39081,,,95564,7,,,,,,,,,['7']
Ohio,Lawrence,39087,,,83064,52 / 83064,,,,,,,,,"['52', '52', '52', '83064']"
Ohio,Logan,39091,,,102974,68,,,,,,,,,['68']
Ohio,Montgomery,39113,,,103055,151,,,,,,,,,['151']
Ohio,Muskingum,39119,,,95510,146,,,,,,,,,"['146', '146']"
Ohio,Summit,39153,,,87286,271 / 8,,,,,,,,,"['271', '271', '271', '271', '8', '271', '271']"
Ohio,Tuscarawas,39157,,,98266,416,,,,,,,,,"['416', '416', '416']"
Ohio,Union,39159,,,101246,739 / 287 / 33,,,,,,,,,"['287', '33', '33', '33', '33', '33', '287', '33', '739', '739', '33']"
Ohio,Clark,39023,,,97956,41 / 68,,,,,,,,,"['68', '68', '41']"
Ohio,Delaware,39041,,,102832,750,,,,,,,,,"['750', '750', '750', '750']"
Ohio,Fulton,39051,,,102802,109 / 108,,,,,,,,,"['108', '109', '109']"
Ohio,Geauga,39055,,,99634,608 / 166,,,,,,,,,"['608', '166']"
Ohio,Geauga,39055,,,85217,528,,,,,,,,,['528']
Ohio,Licking,39089,,,92983,79,,,,,,,,,"['79', '79', '79', '79']"
Ohio,Mercer,39107,,,100937,49 / 219,,,,,,,,,"['49', '49', '219']"
Ohio,Montgomery,39113,,,100962,40 / 35,,,,,,,,,"['35', '35', '40']"
Ohio,Morrow,39117,,,103438,61 / 314 / 42,,,,,,,,,"['42', '314', '314', '61', '314', '42']"
Ohio,Sandusky,39143,,,95765,412 / 590,,,,,,,,,"['412', '412', '412', '590', '412', '412', '412', '412', '590']"
Ohio,Logan,39091,,,103832,347,,,,,,,,,['347']
Ohio,Van Wert,39161,,,87210,30 / 697 / 190 / 189 / 66,,,,,,,,,"['30', '697', '66', '697', '66', '66', '190', '66', '189']"
Ohio,Coshocton,39031,,,93010,36,,,,,,,,,"['36', '36', '36', '36', '36', '36']"
Ohio,Cuyahoga,39035,,,85394,91,,,,,,,,,['91']
Ohio,Washington,39167,,,101746,60,,,,,,,,,['60']
Ohio,Wayne,39169,,,106519,21,,,,,,,,,['21']
Ohio,Van Wert,39161,,,88851,709,,,,,,,,,['709']
Ohio,Ashtabula,39007,,,88933,45 / 11,,,,,,,,,"['11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '45', '45']"
Ohio,Richland,39139,,,98571,430 / 42 / 13,,,,,,,,,"['42', '430', '13', '42']"
Ohio,Coshocton,39031,,,92987,651 / 643 / 621,,,,,,,,,"['643', '643', '621', '651', '651', '651', '651', '643', '643']"
Ohio,Cuyahoga,39035,,,85401,322,,,,,,,,,"['322', '322']"
Ohio,Jackson,39079,,,98152,327 / 124,,,,,,,,,"['327', '327', '124', '327', '327']"
Ohio,Lake,39085,,,99645,528,,,,,,,,,"['528', '528', '528', '528', '528', '528', '528']"
Ohio,Logan,39091,,,100934,117 / 245,,,,,,,,,"['117', '245']"
Ohio,Miami,39109,,,100946,718 / 571,,,,,,,,,"['571', '718', '571', '718']"
Ohio,Morgan,39115,,,84516,60,,,,,,,,,"['60', '60']"
Ohio,Ross,39141,,,104711,23 / 159,,,,,,,,,"['159', '23', '159', '23']"
Ohio,Wayne,39169,,,103544,250,,,,,,,,,"['250', '250', '250']"
Ohio,Wayne,39169,,,92892,83,,,,,,,,,['83']
Ohio,Sandusky,39143,,,95769,6,,,,,,,,,"['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']"
Ohio,Carroll,39019,,,100591,39,,,,,,,,,"['39', '39']"
Ohio,Clark,39023,,,92876,72,,,,,,,,,['72']
Ohio,Fulton,39051,,,101272,20,,,,,,,,,"['20', '20']"
Ohio,Fulton,39051,,,102801,66,,,,,,,,,"['66', '66', '66', '66', '66', '66', '66']"
Ohio,Knox,39083,,,92968,768 / 36 / 308 / 13,,,,,,,,,"['36', '308', '36', '13', '36', '308', '13', '768', '36', '308', '308', '36', '36', '36', '768', '36', '36']"
Ohio,Lake,39085,,,84405,535 / 283,,,,,,,,,"['283', '535']"
Ohio,Lucas,39095,,,99662,184,,,,,,,,,['184']
Ohio,Medina,39103,,,92920,57,,,,,,,,,"['57', '57', '57']"
Ohio,Seneca,39147,,,101281,18,,,,,,,,,"['18', '18', '18']"
Ohio,Shelby,39149,,,100994,48,,,,,,,,,['48']
Ohio,Summit,39153,,,94126,532 / 224,,,,,,,,,"['532', '532', '532', '532', '532', '532', '532', '532', '532', '224', '532']"
Ohio,Cuyahoga,39035,,,105933,14702,,,,,,,,,['14702']
Ohio,Franklin,39049,,,76420,670 / 315 / 25568,,,,,,,,,"['315', '670', '315', '315', '670', '315', '315', '25568', '315', '315']"
Ohio,Jackson,39079,,,92011,35,,,,,,,,,"['35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35', '35']"
Ohio,Lorain,39093,,,92888,10 / 47076 / 83,,,,,,,,,"['83', '10', '10', '10', '47076']"
Ohio,Marion,39101,,,91516,95,,,,,,,,,"['95', '95', '95']"
Ohio,Ross,39141,,,100487,159 / 35,,,,,,,,,"['159', '35', '35', '159']"
Ohio,Scioto,39145,,,97680,23,,,,,,,,,['23']
Ohio,Tuscarawas,39157,,,100630,36,,,,,,,,,"['36', '36', '36', '36']"
Ohio,Williams,39171,,,102827,191 / 6,,,,,,,,,"['6', '191', '6', '6', '6']"
Ohio,Madison,39097,,,25596,71,,,,,,,,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71']"
Ohio,Allen,39003,,,95503,128,,,,,,,,,['128']
Ohio,Guernsey,39059,,,83107,285 / 313 / 40,,,,,,,,,"['285', '313', '313', '40', '285', '313', '313', '285', '313']"
Ohio,Hamilton,39061,,,84481,275 / 127,,,,,,,,,"['275', '127', '127', '127']"
Ohio,Miami,39109,,,100942,571 / 48,,,,,,,,,"['571', '48']"
Ohio,Paulding,39125,,,105522,111,,,,,,,,,['111']
Ohio,Seneca,39147,,,92128,635,,,,,,,,,"['635', '635']"
Ohio,Wayne,39169,,,102936,3,,,,,,,,,['3']
Ohio,Wayne,39169,,,101261,57,,,,,,,,,"['57', '57', '57', '57']"
Ohio,Washington,39167,,,107725,60,,,,,,,,,"['60', '60']"
Ohio,Ashland,39005,,,94392,224,,,,,,,,,"['224', '224', '224']"
Ohio,Perry,39127,,,93137,216 / 155 / 595 / 93,,,,,,,,,"['595', '155', '216', '93']"
Ohio,Richland,39139,,,94401,39 / 309,,,,,,,,,"['39', '39', '309']"
Ohio,Franklin,39049,,,79668,70 / 25421,,,,,,,,,"['25421', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70']"
Ohio,Butler,39017,,,91864,747,,,,,,,,,['747']
Ohio,Tuscarawas,39157,,,102482,542 / 183,,,,,,,,,"['183', '183', '542', '183', '183']"
Ohio,Franklin,39049,,,105137,270,,,,,,,,,"['270', '270']"
Ohio,Henry,39069,,,95716,24,,,,,,,,,"['24', '24', '24', '24']"
Ohio,Meigs,39105,,,91742,143 / 124,,,,,,,,,"['143', '124', '124']"
Ohio,Monroe,39111,,,84539,145 / 26,,,,,,,,,"['145', '26', '145', '26']"
Ohio,Montgomery,39113,,,97667,725,,,,,,,,,['725']
Ohio,Morgan,39115,,,96644,266,,,,,,,,,"['266', '266']"
Ohio,Richland,39139,,,87721,71,,,,,,,,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71']"
Ohio,Trumbull,39155,,,94114,534,,,,,,,,,"['534', '534', '534', '534', '534', '534', '534']"
Ohio,Champaign,39021,,,100922,235 / 29,,,,,,,,,"['29', '235']"
Ohio,Hancock,39063,,,93678,330 / 568,,,,,,,,,"['568', '568', '330']"
Ohio,Hocking,39073,,,96642,180 / 374,,,,,,,,,"['180', '374', '374']"
Ohio,Richland,39139,,,102954,598 / 39 / 13 / 103,,,,,,,,,"['598', '103', '13', '598', '39', '13', '13', '13', '598', '39', '13']"
Ohio,District 7,39021,,,105326,55,,,,,,,,,"['55', '55']"
Ohio,Monroe,39111,,,102562,78,,,,,,,,,"['78', '78']"
Ohio,Shelby,39149,,,88700,705,,,,,,,,,['705']
Ohio,Stark,39151,,,98392,173 / 41 / 44 / 62 / 153,,,,,,,,,"['173', '173', '41', '44', '62', '173', '173', '173', '153', '44', '173']"
Ohio,Washington,39167,,,101181,32 / 339,,,,,,,,,"['32', '339']"
Ohio,Logan,39091,,,105327,274,,,,,,,,,['274']
Ohio,Warren,39165,,,106242,71,,,,,,,,,"['71', '71', '71']"
Ohio,Champaign,39021,,,99982,54,,,,,,,,,['54']
Ohio,Cuyahoga,39035,,,100254,14580 / 14711,,,,,,,,,"['14580', '14711']"
Ohio,Holmes,39075,,,96794,62,,,,,,,,,['62']
Ohio,Jackson,39079,,,100491,93,,,,,,,,,"['93', '93']"
Ohio,Ross,39141,,,97315,167,,,,,,,,,['167']
Ohio,Belmont,39013,,,102475,149 / 331,,,,,,,,,"['149', '331', '331', '331', '331']"
Ohio,Morgan,39115,,,96647,530 / 83,,,,,,,,,"['83', '83', '530']"
Ohio,Lorain,39093,,,87698,20 / 511,,,,,,,,,"['20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '511']"
Ohio,Williams,39171,,,92373,191,,,,,,,,,"['191', '191', '191', '191', '191', '191']"
Ohio,Erie,39043,,,98466,6,,,,,,,,,['6']
Ohio,Medina,39103,,,98250,539 / 42 / 224,,,,,,,,,"['224', '42', '42', '539', '42']"
Ohio,Perry,39127,,,93003,13,,,,,,,,,['13']
Ohio,Scioto,39145,,,100869,52,,,,,,,,,"['52', '52', '52', '52', '52']"
Ohio,Williams,39171,,,102821,127,,,,,,,,,"['127', '127', '127', '127']"
Ohio,District 8,39165,,,94201,42 / 744 / 732 / 68 / 741 / 725 / 133 / 132,,,,,,,,,"['741', '133', '732', '132', '744', '741', '132', '132', '68', '133', '725', '132', '42', '133', '68']"
Ohio,Lawrence,39087,,,102159,93,,,,,,,,,['93']
Ohio,Licking,39089,,,95455,40,,,,,,,,,['40']
Ohio,Ross,39141,,,100488,35,,,,,,,,,"['35', '35', '35', '35', '35', '35', '35', '35']"
Ohio,Highland,39071,,,95563,50,,,,,,,,,['50']
Ohio,Adams,39001,,,91998,781 / 247,,,,,,,,,"['781', '781', '781', '781', '247']"
Ohio,Columbiana,39029,,,100607,518,,,,,,,,,"['518', '518']"
Ohio,Lorain,39093,,,98394,18,,,,,,,,,['18']
Ohio,Morgan,39115,,,91458,60,,,,,,,,,"['60', '60', '60', '60', '60']"
Ohio,Pickaway,39129,,,105552,104 / 22,,,,,,,,,"['104', '22', '22']"
Ohio,Vinton,39163,,,93774,50,,,,,,,,,"['50', '50', '50', '50']"
Ohio,Fairfield,39045,,,93037,188 / 22 / 159,,,,,,,,,"['22', '188', '159', '188', '188']"
Ohio,Holmes,39075,,,105193,93,,,,,,,,,"['93', '93', '93', '93', '93']"
Ohio,Licking,39089,,,95465,37 / 16 / 161,,,,,,,,,"['37', '161', '161', '16', '37', '161', '37', '37', '37', '161', '161', '37', '161', '161', '161', '37']"
Ohio,Marion,39101,,,105532,4,,,,,,,,,"['4', '4']"
Ohio,Wood,39173,,,102824,281,,,,,,,,,"['281', '281', '281']"
Ohio,Adams,39001,,,96328,52 / 136,,,,,,,,,"['136', '52']"
Ohio,Columbiana,39029,,,102486,30,,,,,,,,,['30']
Ohio,Coshocton,39031,,,101608,206 / 541,,,,,,,,,"['206', '541', '541', '541']"
Ohio,Holmes,39075,,,105190,39 / 62,,,,,,,,,"['62', '39']"
Ohio,Putnam,39137,,,98467,114 / 224,,,,,,,,,"['224', '114', '224']"
Ohio,Trumbull,39155,,,100959,80,,,,,,,,,['80']
Ohio,Tuscarawas,39157,,,100567,77 / 751,,,,,,,,,"['751', '77']"
Ohio,Wayne,39169,,,101400,83,,,,,,,,,"['83', '83', '83', '83']"
Ohio,Allen,39003,,,94206,75,,,,,,,,,"['75', '75', '75']"
Ohio,Ashtabula,39007,,,100815,84 / 20,,,,,,,,,"['20', '20', '84', '20', '20', '84']"
Ohio,Belmont,39013,,,105179,149,,,,,,,,,"['149', '149']"
Ohio,Highland,39071,,,84634,41 / 124,,,,,,,,,"['124', '41']"
Ohio,Williams,39171,,,105474,20 / 107,,,,,,,,,"['20', '107', '107']"
Ohio,Perry,39127,,,105130,204,,,,,,,,,"['204', '204', '204']"
Ohio,Ashland,39005,,,96318,301 / 58,,,,,,,,,"['58', '58', '58', '58', '58', '58', '58', '58', '301', '58', '301']"
Ohio,Columbiana,39029,,,96786,46,,,,,,,,,"['46', '46']"
Ohio,Delaware,39041,,,105543,257 / 605,,,,,,,,,"['605', '257']"
Ohio,Holmes,39075,,,102405,520,,,,,,,,,"['520', '520', '520', '520']"
Ohio,Lawrence,39087,,,92012,52 / 7 / 527,,,,,,,,,"['527', '7', '527', '7', '7', '7', '527', '52']"
Ohio,Medina,39103,,,91092,91092 / 224 / 76,,,,,,,,,"['76', '224', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '76', '91092', '91092', '91092']"
Ohio,Montgomery,39113,,,102980,75,,,,,,,,,['75']
Ohio,Trumbull,39155,,,100817,45,,,,,,,,,"['45', '45', '45']"
Ohio,Franklin,39049,,,93136,33,,,,,,,,,['33']
Ohio,Pike,39131,,,88969,335 / 104,,,,,,,,,"['335', '335', '335', '104', '335']"
Ohio,Ashtabula,39007,,,94077,20,,,,,,,,,"['20', '20']"
Ohio,Athens,39009,,,84549,56,,,,,,,,,['56']
Ohio,Butler,39017,,,105133,129 / 4,,,,,,,,,"['129', '129', '4', '129']"
Ohio,Guernsey,39059,,,93022,77,,,,,,,,,"['77', '77', '77', '77', '77']"
Ohio,Harrison,39067,,,91844,250 / 9,,,,,,,,,"['9', '250']"
Ohio,Highland,39071,,,84622,138 / 753,,,,,,,,,"['138', '138', '138', '753']"
Ohio,Madison,39097,,,105547,42,,,,,,,,,"['42', '42', '42']"
Ohio,Clinton,39027,,,87300,251 / 68 / 350,,,,,,,,,"['68', '68', '68', '68', '68', '68', '251', '350']"
Ohio,Belmont,39013,,,91962,800,,,,,,,,,"['800', '800', '800']"
