state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct
Ohio,Summit,39153,2018,2018-02-08 00:00:00,98702,77 / 271 / 16,,2.0,204.0,,0.61562742,0.6455450300000001,,,"['77', '271', '16']",4.859694196207186
Ohio,Trumbull,39155,2018,2018-02-08 00:00:00,81641,5,,4.0,234.0,,2.96928481,3.01966479,,,"['5', '5', '5', '5', '5', '5', '5']",1.6967041972642636
Ohio,Union,39159,2018,2018-02-08 00:00:00,91391,38,,2.0,249.0,,0.51595951,0.50889905,,,['38'],-1.3684135795849437
Ohio,Wayne,39169,2018,2018-02-08 00:00:00,87718,71,,4.0,234.0,,5.93205295,6.641350650000001,,,"['71', '71', '71']",11.957035885864782
Ohio,Perry,39127,2018,2018-02-08 00:00:00,95447,93,,2.0,249.0,,2.04989228,2.2452522599999996,,,"['93', '93', '93', '93', '93']",9.530255902032065
Ohio,Putnam,39137,2018,2018-02-22 00:00:00,93645,65 / 109 / 613,,2.0,191.0,,3.81011693,4.19053466,,,"['109', '613', '65']",9.984410898381537
Ohio,Champaign,39021,2018,2018-02-22 00:00:00,104854,29,,2.0,159.0,,1.02415728,1.04891672,,,['29'],2.417542743044307
Ohio,Cuyahoga,39035,2018,2018-02-22 00:00:00,85530,480,,4.0,251.0,,3.7259618999999997,4.06545857,,,['480'],9.111651678456507
Ohio,Guernsey,39059,2018,2018-02-22 00:00:00,100999,265 / 376,,2.0,235.0,,2.2422855499999996,2.52384011,,,"['265', '265', '376', '265', '265', '265', '265', '265']",12.556588075947797
Ohio,Henry,39069,2018,2018-02-22 00:00:00,102763,281,,2.0,128.0,,0.76674763,0.79089294,,,"['281', '281']",3.1490557068953673
Ohio,Jefferson,39081,2018,2018-02-22 00:00:00,95564,7,,4.0,251.0,,1.69434,1.81484864,,,['7'],7.112423716609414
Ohio,Lawrence,39087,2018,2018-02-22 00:00:00,83064,52 / 83064,,4.0,190.0,,1.60997251,1.61184753,,,"['52', '52', '52', '83064']",0.11646285811426366
Ohio,Logan,39091,2018,2018-02-22 00:00:00,102974,68,,2.0,128.0,,0.84013575,0.8374820799999999,,,['68'],-0.31586204967471654
Ohio,Montgomery,39113,2018,2018-02-22 00:00:00,103055,151,,2.0,128.0,,0.1269695,0.12635425,,,['151'],-0.4845651908529305
Ohio,Muskingum,39119,2018,2018-02-22 00:00:00,95510,146,,2.0,235.0,,1.13866105,1.20949996,,,"['146', '146']",6.221246436768867
Ohio,Summit,39153,2018,2018-02-22 00:00:00,87286,271 / 8,,4.0,128.0,,1.69865455,1.4099068799999999,,,"['271', '271', '271', '271', '8', '271', '271']",-16.998610459083643
Ohio,Tuscarawas,39157,2018,2018-02-23 00:00:00,98266,416,,2.0,250.0,,1.06588444,1.1123909699999999,,,"['416', '416', '416']",4.363186876055703
Ohio,Union,39159,2018,2018-02-22 00:00:00,101246,739 / 287 / 33,,2.0,235.0,,4.94997358,5.18767049,,,"['287', '33', '33', '33', '33', '33', '287', '33', '739', '739', '33']",4.8019834077579135
Ohio,Clark,39023,2018,2018-02-22 00:00:00,97956,41 / 68,,4.0,190.0,,3.99819575,4.2770031,,,"['68', '68', '41']",6.97332915728301
Ohio,Delaware,39041,2018,2018-03-16 00:00:00,102832,750,,4.0,213.0,,1.5261843,1.54723292,,,"['750', '750', '750', '750']",1.379166330042837
Ohio,Fulton,39051,2018,2018-03-16 00:00:00,102802,109 / 108,,2.0,137.0,,1.55127359,1.52386563,,,"['108', '109', '109']",-1.7668037525218308
Ohio,Geauga,39055,2018,2018-03-16 00:00:00,99634,608 / 166,,2.0,229.0,,0.69846075,0.87547642,,,"['608', '166']",25.34368180316504
Ohio,Geauga,39055,2018,2018-03-16 00:00:00,85217,528,,2.0,229.0,,2.03387912,2.33766591,,,['528'],14.936324731039088
Ohio,Licking,39089,2018,2018-03-16 00:00:00,92983,79,,4.0,213.0,,3.25498114,3.2524594500000004,,,"['79', '79', '79', '79']",-0.07747172384536694
