project_number,bidder_name,address,city,state,zip,county,bidder_number,bid_amount,filename,awarded
180522,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,7244172.45,180522bidtab.pdf,True
180522,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,2,7527409.7,180522bidtab.pdf,False
180525,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,2044154.12,180525bidtab.pdf,True
180525,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,2,2106263.13,180525bidtab.pdf,False
180530,GERKEN PAVING INC,9072 CO RD 424,NAPOLEON,OH,43545,Henry,1,767850.95,180530bidtab.pdf,True
180530,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,2,809578.95,180530bidtab.pdf,False
180530,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,3,846323.4,180530bidtab.pdf,False
180533,BROWN COUNTY ASPHALT INC,11254 HAMER RD,GEORGETOWN,OH,45121,Brown,1,873162.11,180533bidtab.pdf,True
180533,BROWN COUNTY CONSTRUCTION CO INC,8108 US ROUTE 52,ABERDEEN,OH,45101,Brown,2,998406.0,180533bidtab.pdf,False
180533,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,3,1089515.4,180533bidtab.pdf,False
180535,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,294848.15,180535bidtab.pdf,True
180535,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,2,316250.0,180535bidtab.pdf,False
180535,ALLIED ENTERPRISES INC,1243 RAFF RD S W,CANTON,OH,44710,Stark,3,321732.58,180535bidtab.pdf,False
180535,R T VERNAL PAVING & EXCAVATING INC,11299 SOUTH AVE EXTENSION  PO BOX 519,NORTH LIMA,OH,44452-0519,,4,329772.4,180535bidtab.pdf,False
180535,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,5,376909.48,180535bidtab.pdf,False
180535,"NLS PAVING, INC",67925 Bayberry Drive Suite B,St Clairsville,OH,43950,Belmont,6,432070.0,180535bidtab.pdf,False
180536,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,3669066.86,180536bidtab.pdf,True
180536,"NLS PAVING, INC",67925 Bayberry Drive Suite B,St Clairsville,OH,43950,Belmont,2,3908048.15,180536bidtab.pdf,False
180542,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,1439995.18,180542bidtab.pdf,True
180542,MELWAY PAVING CO INC,7571 ST RT 83,HOLMESVILLE,OH,44633,Holmes,2,1451096.3,180542bidtab.pdf,False
180542,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,3,1549176.98,180542bidtab.pdf,False
180542,KARVO COMPANIES INC,4524 HUDSON DR,STOW,OH,44224-1702,,4,1795468.74,180542bidtab.pdf,False
180547,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,2199475.75,180547bidtab.pdf,True
180547,BLUFFTON PAVING INC,P O BOX 26,BLUFFTON,OH,45817,Allen,2,2212378.5,180547bidtab.pdf,False
180548,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,1522248.08,180548bidtab.pdf,True
180548,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,2,1727152.48,180548bidtab.pdf,False
180548,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,3,2154740.75,180548bidtab.pdf,False
180549,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,3461110.22,180549bidtab.pdf,True
180549,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,3626666.5,180549bidtab.pdf,False
180549,KARVO COMPANIES INC,4524 HUDSON DR,STOW,OH,44224-1702,,3,3840849.85,180549bidtab.pdf,False
180549,"NLS PAVING, INC",67925 Bayberry Drive Suite B,St Clairsville,OH,43950,Belmont,4,4050000.0,180549bidtab.pdf,False
180551,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,1,3551696.85,180551bidtab.pdf,True
180551,MELWAY PAVING CO INC,7571 ST RT 83,HOLMESVILLE,OH,44633,Holmes,2,3993361.68,180551bidtab.pdf,False
180551,KARVO COMPANIES INC,4524 HUDSON DR,STOW,OH,44224-1702,,3,4016046.31,180551bidtab.pdf,False
180551,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,4,4150886.42,180551bidtab.pdf,False
180551,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,5,4835628.84,180551bidtab.pdf,False
180555,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,5688484.21,180555bidtab.pdf,True
180555,GERKEN PAVING INC,9072 CO RD 424,NAPOLEON,OH,43545,Henry,2,5852600.25,180555bidtab.pdf,False
180556,RONYAK PAVING INC,14376 N CHESHIRE ST,BURTON,OH,44021,Geauga,1,1857300.0,180556bidtab.pdf,True
180556,KOSKI CONSTRUCTION CO,P O BOX 1038,ASHTABULA,OH,44005-1038,,2,1997345.35,180556bidtab.pdf,False
180556,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,3,2264686.4,180556bidtab.pdf,False
180557,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,505025.65,180557bidtab.pdf,True
180557,"NLS PAVING, INC",67925 Bayberry Drive Suite B,St Clairsville,OH,43950,Belmont,2,579875.0,180557bidtab.pdf,False
180557,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,3,774038.55,180557bidtab.pdf,False
180560,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,1544665.3,180560bidtab.pdf,True
180560,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,2,1630756.95,180560bidtab.pdf,False
180568,GERKEN PAVING INC,9072 CO RD 424,NAPOLEON,OH,43545,Henry,1,1331714.07,180568bidtab.pdf,True
180569,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,3236774.92,180569bidtab.pdf,True
180569,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,3490063.12,180569bidtab.pdf,False
180569,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,3,3524258.84,180569bidtab.pdf,False
180570,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,2346074.65,180570bidtab.pdf,True
180574,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,4919991.15,180574bidtab.pdf,True
180574,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,2,5160932.31,180574bidtab.pdf,False
180574,MELWAY PAVING CO INC,7571 ST RT 83,HOLMESVILLE,OH,44633,Holmes,3,5738338.85,180574bidtab.pdf,False
180574,KARVO COMPANIES INC,4524 HUDSON DR,STOW,OH,44224-1702,,4,5793258.29,180574bidtab.pdf,False
180576,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,1039617.75,180576bidtab.pdf,True
180576,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,1068518.58,180576bidtab.pdf,False
180576,R T VERNAL PAVING & EXCAVATING INC,11299 SOUTH AVE EXTENSION  PO BOX 519,NORTH LIMA,OH,44452-0519,,3,1071365.65,180576bidtab.pdf,False
180576,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,4,1192404.25,180576bidtab.pdf,False
180576,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,5,1337420.6,180576bidtab.pdf,False
180577,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,2264992.15,180577bidtab.pdf,True
180577,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,2,2297882.49,180577bidtab.pdf,False
180578,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,899663.1,180578bidtab.pdf,True
180578,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,2,993214.18,180578bidtab.pdf,False
180578,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,3,1057036.89,180578bidtab.pdf,False
180583,MELWAY PAVING CO INC,7571 ST RT 83,HOLMESVILLE,OH,44633,Holmes,1,932853.04,180583bidtab.pdf,True
180583,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,1058912.95,180583bidtab.pdf,False
180584,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,4529950.22,180584bidtab.pdf,True
180585,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,3569993.2,180585bidtab.pdf,True
180585,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,2,3784870.7,180585bidtab.pdf,False
180585,KARVO COMPANIES INC,4524 HUDSON DR,STOW,OH,44224-1702,,3,3868440.13,180585bidtab.pdf,False
180585,KOKOSING CONSTRUCTION COMPANY INC,6235 WESTERVILLE RD,WESTERVILLE,OH,43081,Franklin,4,4109756.0,180585bidtab.pdf,False
180585,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,5,5225322.17,180585bidtab.pdf,False
180586,BARRETT PAVING MATERIALS INC,3751 COMMERCE DR,MIDDLETOWN,OH,45055,Butler,1,1398392.6,180586bidtab.pdf,True
180586,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,2,1481896.23,180586bidtab.pdf,False
180589,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,2275396.68,180589bidtab.pdf,True
180589,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,2336383.9,180589bidtab.pdf,False
180592,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,430621.85,180592bidtab.pdf,True
180592,MICROSURFACING CONTRACTORS LLC,13940 ST CHARLES ROCK RD,BRIDGETON,MO,63044,,2,585173.78,180592bidtab.pdf,False
180592,AMERICAN PAVEMENTS INC,7475 MONTGOMERY DR,PLAIN CITY,OH,43064,Madison,3,600966.79,180592bidtab.pdf,False
180592,STRAWSER CONSTRUCTION INC,1392 DUBLIN RD,COLUMBUS,OH,43215,Franklin,4,609364.95,180592bidtab.pdf,False
180598,KOSKI CONSTRUCTION CO,P O BOX 1038,ASHTABULA,OH,44005-1038,,1,884555.0,180598bidtab.pdf,True
180598,KARVO COMPANIES INC,4524 HUDSON DR,STOW,OH,44224-1702,,2,1023765.52,180598bidtab.pdf,False
180598,RONYAK PAVING INC,14376 N CHESHIRE ST,BURTON,OH,44021,Geauga,3,1041162.0,180598bidtab.pdf,False
