project_number,bidder_name,address,city,state,zip,county,bidder_number,bid_amount,filename,awarded
180031,KOKOSING CONSTRUCTION COMPANY INC,886 MC KINLEY AVE,COLUMBUS,OH,43222,Franklin,1,706878.35,180031bidtab.pdf,True
180031,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,772883.66,180031bidtab.pdf,False
180043,KOSKI CONSTRUCTION CO,P O BOX 1038,ASHTABULA,OH,44005-1038,,1,1351328.6,180043bidtab.pdf,True
180043,RONYAK PAVING INC,14376 N CHESHIRE ST,BURTON,OH,44021,Geauga,2,1495659.13,180043bidtab.pdf,False
180043,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,3,1519279.5,180043bidtab.pdf,False
180043,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,4,1542226.65,180043bidtab.pdf,False
180045,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,2251922.15,180045bidtab.pdf,True
180045,ALLIED ENTERPRISES INC,1243 RAFF RD S W,CANTON,OH,44710,Stark,2,2492886.35,180045bidtab.pdf,False
180045,THE LASH PAVING COMPANY,67925 Bayberry Drive Suite B,St Clairsville,OH,43912,Belmont,3,2588361.06,180045bidtab.pdf,False
180045,SUPERIOR PAVING & MATERIALS INC,5945 WHIPPLE AVE NW,NORTH CANTON,OH,44720,Stark,4,2732722.66,180045bidtab.pdf,False
180045,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,5,3012617.88,180045bidtab.pdf,False
180050,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,1,2707278.83,180050bidtab.pdf,True
180050,KOKOSING CONSTRUCTION COMPANY INC,886 MC KINLEY AVE,COLUMBUS,OH,43222,Franklin,2,3808282.35,180050bidtab.pdf,False
180051,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,1,1239870.24,180051bidtab.pdf,True
180051,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,2,1245487.6,180051bidtab.pdf,False
