state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num
Ohio,Portage,39133,2018,2018-02-08 00:00:00,94133,303,,2.0,142.0,0.563,0.4489283,0.45682353,7.0,,['303'],1.7586839591088446,180108
Ohio,Seneca,39147,2018,2018-02-08 00:00:00,102817,19 / 101,,2.0,205.0,1.695,1.60740225,2.04831144,4.0,,"['101', '19', '101', '101', '19', '19', '101', '101']",27.429922410522934,180110
Ohio,Stark,39151,2018,2018-02-08 00:00:00,102413,153 / 172,,2.0,203.0,1.251,1.2547311,1.1850788799999998,5.0,,"['172', '153']",-5.551167098671601,180112
Ohio,Summit,39153,2018,2018-02-08 00:00:00,98702,77 / 271 / 16,,2.0,204.0,0.715,0.61562742,0.6455450300000001,11.0,,"['77', '271', '16']",4.859694196207186,180113
Ohio,Trumbull,39155,2018,2018-02-08 00:00:00,81641,5,,4.0,234.0,3.144,2.96928481,3.01966479,8.0,,"['5', '5', '5', '5', '5', '5', '5']",1.6967041972642636,180114
Ohio,Union,39159,2018,2018-02-08 00:00:00,91391,38,,2.0,249.0,0.52,0.51595951,0.50889905,2.0,,['38'],-1.3684135795849437,180115
Ohio,Wayne,39169,2018,2018-02-08 00:00:00,87718,71,,4.0,234.0,6.752,5.93205295,6.641350650000001,2.0,,"['71', '71', '71']",11.957035885864782,180116
Ohio,Perry,39127,2018,2018-02-08 00:00:00,95447,93,,2.0,249.0,1.964,2.04989228,2.24525226,2.0,,"['93', '93', '93', '93', '93']",9.530255902032064,188001
Ohio,Putnam,39137,2018,2018-02-22 00:00:00,93645,65 / 109 / 613,,2.0,191.0,3.365,3.81011693,4.19053466,2.0,,"['109', '613', '65']",9.984410898381537,180071
Ohio,Champaign,39021,2018,2018-02-22 00:00:00,104854,29,,2.0,159.0,1.03,1.02415728,1.04891672,2.0,,['29'],2.417542743044307,180119
Ohio,Cuyahoga,39035,2018,2018-02-22 00:00:00,85530,480,,4.0,251.0,3.59,3.7259619,4.06545857,5.0,,['480'],9.111651678456507,180122
